brand,score
Abercrombie & Fitch,62
Adidas,173.5
Aeropostale,10
ALDI Nord,63
ALDI SOUTH,75
ALDO,43.5
Amazon,63.5
American Eagle,43
ANTA,21
Anthropologie,50.5
Aritzia,39.5
Armani,22
Asda,84.5
ASICS,114.5
ASOS,137
Balenciaga,117
Bally,0
Banana Republic,125
BCBGMAXAZRIA,8
Beanpole,19
Belle,0
Bershka,110.5
Big Bazaar - ffb,3
Big W,75.5
Billabong,8.5
Bloomingdale's,39
Bonprix,107.5
boohoo,23
Bosideng,18.5
Bottega Veneta,116
Brooks Brothers,13
Brooks Sport,63.5
Brunello Cucinelli,26.5
Buckle,24
Burberry,90
Burlington,36
C&A,174.5
Calvin Klein,134.5
Calzedonia,33
Canada Goose,10.5
Carhartt,15
Carolina Herrera,30
CAROLL,35
Carrefour ,51
Cato Fashions,13
CELINE,64
celio,3.5
Champion,97
Chanel,26.5
Chico's,29.5
Chloé,50
Claire's,12
Clarks,101
COACH,47
Cole Haan,20.5
Columbia Sportswear,70.5
Converse,138
Cortefiel,40.5
Costco,38
Cotton On,62.5
Debenhams,102
Decathlon,58.5
Desigual,42
Diane Von Furstenberg,6
Dick's Sporting Goods,41
Diesel,26.5
Dillards,24
Dior,65
Disney,57
DKNY,6
Dolce & Gabbana,8.5
Dr. Martens,24
Dressmann,120
DSW,26
Eddie Bauer,11.5
El Corte Inglés,69.5
Elie Tahari,0
Ermenegildo Zegna,67
Esprit,160.5
Express,20
Falabella,42.5
Famous Footwear,23
Fanatics,37.5
Fashion Nova,4
Fendi,63
Fila,19.5
Fjällräven,78
Foot Locker,18.5
Forever 21,16.5
Foschini,36
Fossil,32
Free people,51.5
Furla,25.5
Gap,125
Gerry Weber,26
Gildan,123
G-Star RAW,122
Gucci,121
GUESS,48
H&M,182
Hanes,97
Heilan Home,0
Helly Hansen,87.5
HEMA,84.5
Hermès,82.5
Hollister Co.,62
Hudson's Bay,47.5
Hugo Boss,102.5
Intimissimi,33
Ito-Yokado,51.5
J.Crew,36
Jack & Jones,73
JCPenney,37
JD Sports,40
Jessica Simpson,0
Jil Sander,15.5
Jockey,11
Joe Fresh,33.5
John Lewis,74
Jordan,138
Justfab,10.5
Kate Spade,47
Kathmandu,75.5
Kaufland,45.5
KiK,45
Kmart ,44.5
Kmart Australia,82
Kohl's,41
KOOVS,4
K-Way,15
La Redoute,28.5
Lacoste,61.5
Lands' End,46.5
Levi Strauss & Co,119.5
Lidl,67
Lindex,124
Li-Ning,38.5
LL Bean,15
LOFT,64
Longchamp,7.5
Louis Vuitton,65
Lululemon,114
Macy's,39
Mammut,78.5
Mango,54
Marc Jacobs,63
Marks & Spencer,149
Marni,26.5
Massimo Dutti,110.5
Matalan,44
Max Mara,1
Merrell,27.5
Metersbonwe,2
Mexx,0
Michael Kors,19
Miu Miu,45.5
Mizuno,67
Moncler,47
Monoprix,55
Monsoon,100
Morrisons,78.5
MRP,39.5
Muji,26
Neiman Marcus,16
New Balance,121
New Look,106.5
New York & Company,18.5
New Yorker,1.5
Next,90.5
Nike,138
Nine West,8
Nordstrom,55.5
Old Navy,125
Otto,49
OVS,86.5
Patagonia,151
Pepe Jeans,1
Pimkie,45.5
Prada,45.5
PrettyLittleThing,23
Primark,96
Prisma,62
Pull&Bear,110.5
Puma,141.5
Quicksilver,8.5
Ralph Lauren,67.5
Reebok,173.5
REI,58.5
Reliance Trends,31
Reserved,48.5
REVOLVE,5.5
River Island,55.5
Ross Dress for Less,21
Roxy,8.5
Russell Athletic,90.5
s.Oliver,40.5
Sainsbury's,117.5
SAINT LAURENT,117
Saks Fifth Avenue,47.5
Salvatore Ferragamo,51.5
Sandro,28.5
Skechers,20.5
Speedo,84.5
Sports Direct,15
Steve Madden,24
Stradivarius,110.5
Superdry,50.5
Takko,29
Target,93.5
Target Australia,82
Tchibo,121
Ted Baker,58.5
Tesco ,108.5
Tezenis,33
The Children's Place,22.5
The North Face,146.5
The Warehouse,85.5
Timberland,147
TJ Maxx,38
Tod's,50.5
Tom Ford,0.5
Tom Tailor,45
Tommy Bahama,21
Tommy Hilfiger,134.5
Topman,95.5
Topshop,95.5
TOPVALU COLLECTION,48.5
Tory Burch,9
Triumph,25
Truworths,36.5
UGG,43.5
Under Armour,73
Uniqlo,99
United Arrows,17.5
United Colors of Benetton,136.5
Urban Outfitters,50.5
Valentino,24.5
Van Heusen,134.5
Vans,146.5
Vero Moda,74
Versace,14.5
Very,70.5
Victoria's Secret,53
Walmart,70
Woolworths South Africa,48.5
Wrangler,146.5
Youngor,0
Zalando,97.5
Zara,110.5
Zeeman,62